Metabolite ID	Exchange reaction ID	Metabolite name	Western Diet	High fiber Diet
meoh	EX_meoh(e)	Methanol	10	10
metsox_S_L	EX_metsox_S_L(e)	L-Methionine Sulfoxide	1	1
mg2	EX_mg2(e)	Magnesium	1	1
mn2	EX_mn2(e)	Mn2+	1	1
mobd	EX_mobd(e)	Molybdate	1	1
mqn7	EX_mqn7(e)	Menaquinone 7	1	1
mqn8	EX_mqn8(e)	Menaquinone 8	1	1
na1	EX_na1(e)	Sodium	1	1
nac	EX_nac(e)	Nicotinate	1	1
ncam	EX_ncam(e)	Nicotinamide	1	1
nmn	EX_nmn(e)	NMN	1	1
no2	EX_no2(e)	Nitrite	1	1
no3	EX_no3(e)	Nitrate	1	1
orn	EX_orn(e)	Ornithine	1	1
pheme	EX_pheme(e)	Protoheme	1	1
pi	EX_pi(e)	Hydrogenphosphate	1	1
pime	EX_pime(e)	Pimelate	1	1
pnto_R	EX_pnto_R(e)	(R)-Pantothenate	1	1
ptrc	EX_ptrc(e)	Putrescine	1	1
pydam	EX_pydam(e)	Pyridoxamine	1	1
pydx	EX_pydx(e)	Pyridoxal	1	1
pydx5p	EX_pydx5p(e)	Pyridoxal 5-phosphate	1	1
pydxn	EX_pydxn(e)	Pyridoxine	1	1
q8	EX_q8(e)	Ubiquinone-8	1	1
ribflv	EX_ribflv(e)	Riboflavin	1	1
sel	EX_sel(e)	Selenate	1	1
sheme	EX_sheme(e)	Siroheme	1	1
so4	EX_so4(e)	Sulfate	1	1
spmd	EX_spmd(e)	Spermidine	1	1
thm	EX_thm(e)	Thiamin	1	1
thymd	EX_thymd(e)	Thymidine	1	1
ura	EX_ura(e)	Uracil	1	1
uri	EX_uri(e)	Uridine	1	1
xan	EX_xan(e)	Xanthine	1	1
zn2	EX_zn2(e)	Zinc	1	1
